enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
1321,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
6792,city_57,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,0.0
32813,city_173,Male,No relevent experience,Full time course,Graduate,Humanities,2,1000-4999,Pvt Ltd,0.0
9147,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,0.0
11930,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
17162,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1.0
31535,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,0.0
11754,city_36,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,0.0
31605,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,0.0
2225,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10/49,Pvt Ltd,0.0
31898,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,<10,Funded Startup,0.0
28984,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0.0
31356,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,0.0
13436,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,Pvt Ltd,0.0
22600,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Public Sector,0.0
7146,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,16,10/49,Pvt Ltd,0.0
18157,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,500-999,Pvt Ltd,0.0
12882,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,0.0
14381,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1.0
3506,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,0.0
8492,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,0.0
24209,city_16,Male,No relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,0.0
9451,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,0.0
28537,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,9,100-500,Pvt Ltd,0.0
29384,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
9403,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,16,50-99,Pvt Ltd,0.0
9249,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
3058,city_104,Male,Has relevent experience,no_enrollment,Masters,STEM,17,500-999,Pvt Ltd,0.0
27725,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1.0
32006,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,0.0
23071,city_1,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,0.0
5590,city_21,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,1.0
6614,city_76,Male,Has relevent experience,no_enrollment,Masters,STEM,20,50-99,Pvt Ltd,0.0
14141,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,0.0
8274,city_105,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Public Sector,0.0
24221,city_21,Male,No relevent experience,Full time course,Graduate,STEM,3,500-999,Pvt Ltd,1.0
19738,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
5100,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Early Stage Startup,0.0
12089,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,1.0
2384,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,9,500-999,Pvt Ltd,0.0
4572,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Pvt Ltd,0.0
27243,city_78,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1.0
5710,city_50,Male,Has relevent experience,no_enrollment,Masters,STEM,13,5000-9999,Public Sector,0.0
3301,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
5581,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,0.0
26770,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1.0
18039,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,0.0
23287,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10/49,Pvt Ltd,1.0
31832,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,Pvt Ltd,1.0
13134,city_160,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,0.0
781,city_114,Male,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Early Stage Startup,0.0
13560,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,0.0
13938,city_21,Male,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,0.0
5269,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Funded Startup,0.0
