,enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
11664,21102,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,0.0
10914,8428,city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Pvt Ltd,1.0
9561,4483,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,0.0
1279,6990,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0.0
11372,20599,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,0.0
18867,1258,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,0.0
1563,13922,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,3,50-99,Pvt Ltd,0.0
10792,7397,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,0.0
15017,25119,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,NGO,1.0
2187,14834,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,0.0
7041,2319,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,0.0
5632,17381,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,0.0
17585,22942,city_103,Male,Has relevent experience,Full time course,Masters,STEM,11,10000+,Pvt Ltd,0.0
8940,26639,city_21,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,NGO,0.0
11325,21631,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Public Sector,0.0
8887,13679,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,0.0
18388,23512,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
918,26304,city_54,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,50-99,Pvt Ltd,0.0
1846,27993,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1.0
6824,8525,city_9,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,0.0
2823,29985,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
17697,14612,city_21,Male,Has relevent experience,Full time course,Masters,STEM,4,1000-4999,Pvt Ltd,1.0
10077,10773,city_21,Male,No relevent experience,no_enrollment,Graduate,No Major,2,50-99,Early Stage Startup,0.0
11204,13758,city_173,Male,No relevent experience,no_enrollment,Masters,Humanities,>20,1000-4999,Public Sector,0.0
3677,3572,city_41,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,0.0
18479,25334,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
13342,16236,city_141,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,0.0
6069,2571,city_136,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
5390,25935,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Early Stage Startup,1.0
2013,10087,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,17,5000-9999,Pvt Ltd,0.0
2156,12615,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1.0
11167,12173,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
17780,5245,city_14,Male,No relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,0.0
2838,12435,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,0.0
4791,30300,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,0.0
