,enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
1,29725,city_40,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
4,666,city_162,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,0.0
7,402,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,1.0
8,27107,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1.0
11,23853,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,0.0
12,25619,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
15,6588,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,0.0
20,31972,city_159,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,0.0
21,19061,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,0.0
23,7041,city_40,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,0.0
29,10408,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,1.0
30,14928,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
31,22293,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,0.0
33,26966,city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
34,26494,city_16,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,0.0
35,4866,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,0.0
37,10164,city_114,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,1.0
40,2547,city_114,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,0.0
44,5590,city_21,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,1.0
46,9006,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1.0
47,25987,city_103,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,1.0
49,25103,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,0.0
