gender,relevant_experience,education_level,major_discipline,company_size,company_type,target
Male,Has relevant experience,Graduate,STEM,100-499,Pvt Ltd,0
Male,Has relevant experience,Masters,STEM,0-49,Early Stage Startup,0
Male,Has relevant experience,Graduate,STEM,1000-4999,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,500-999,Pvt Ltd,1
Male,Has relevant experience,Graduate,STEM,50-99,Pvt Ltd,0
Male,Has relevant experience,Masters,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Masters,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Masters,Humanities,50-99,Pvt Ltd,1
Male,Has relevant experience,Masters,STEM,5000-9999,Pvt Ltd,0
Male,Has relevant experience,Masters,STEM,0-49,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,1000-4999,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,1000-4999,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,1000-4999,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Phd,STEM,100-499,Public Sector,0
Male,Has relevant experience,Graduate,STEM,50-99,Pvt Ltd,1
Male,Has relevant experience,Masters,STEM,0-49,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,100-499,Pvt Ltd,1
Male,Has relevant experience,Graduate,STEM,0-49,Pvt Ltd,0
Male,Has relevant experience,Graduate,Other,1000-4999,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,100-499,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,1000-4999,Pvt Ltd,0
Male,No relevant experience,Graduate,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,1000-4999,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,0-49,Funded Startup,1
Male,Has relevant experience,Graduate,STEM,0-49,Pvt Ltd,0
Male,Has relevant experience,Masters,STEM,50-99,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,0-49,Pvt Ltd,1
Male,Has relevant experience,Graduate,STEM,10000+,Pvt Ltd,0
Male,Has relevant experience,Graduate,STEM,0-49,Pvt Ltd,0
